Sl No,Name,Team,Age
1,Kagiso Rabada,Delhi Capitals,26
2,Jasprit Bumrah,Mumbai Indians,27
3,Trent Boult,Mumbai Indians,32
4,Anrich Nortje,Delhi Capitals,27
5,Yuzvendra Chahal,Royal Challengers Bangalore,31
6,Rashid Khan,Sunrisers Hyderabad,23
7,Jofra Archer,Rajasthan Royals,26
8,Mohammed Shami,Kings XI Punjab,31
9,Varun Chakravarthy,Kolkata Knight Riders,30
10,T Natarajan,Sunrisers Hyderabad,30
